Prev,Updated,Class
"public int METHOD_1 ( android.bluetooth.BluetoothDevice device ) { if ( VAR_1 ) android.util.Log.v ( TYPE_1 . TAG , STRING_1 ) ; TYPE_1 service = METHOD_2 ( ) ; if ( service == null ) return VAR_2 ; return service . METHOD_1 ( device ) ; }","public int METHOD_1 ( android.bluetooth.BluetoothDevice device ) { if ( VAR_1 ) { android.util.Log.v ( TYPE_1 . TAG , STRING_1 ) ; } TYPE_1 service = METHOD_2 ( ) ; if ( service == null ) { return VAR_2 ; } return service . METHOD_1 ( device ) ; }",Add braces to if statement
"public long METHOD_1 ( int i ) { if ( ! ( VAR_1 ) ) { throw new TYPE_1 ( STRING_1 ) ; } return METHOD_1 ( METHOD_2 ( METHOD_3 ( i , VAR_2 ) ) ) ; }","public final long METHOD_1 ( int i ) { if ( ! ( VAR_1 ) ) { throw new TYPE_1 ( STRING_1 ) ; } return METHOD_1 ( METHOD_2 ( METHOD_3 ( i , VAR_2 ) ) ) ; }",Forbid overriding: add final to method
public static long METHOD_1 ( long arg ) { if ( VAR_1 ) { throw new TYPE_1 ( ) ; } return arg > > 0 ; },public static long METHOD_1 ( long arg ) { return arg > > 0 ; },Remove statement
"public static boolean METHOD_1 ( TYPE_1 VAR_1 , java.lang.Class < ? > [ ] VAR_2 ) { return TYPE_1 . METHOD_2 ( VAR_1 . METHOD_3 ( ) , VAR_2 ) ; }","public static boolean METHOD_1 ( TYPE_1 VAR_1 , java.lang.Class < ? > [ ] VAR_2 ) { return TYPE_1 . METHOD_2 ( VAR_1 , VAR_2 ) ; }",Remove parameter from the method invocation
"synchronized TYPE_1 METHOD_1 ( int VAR_1 ) { METHOD_2 ( ) ; return METHOD_3 ( mContext , VAR_1 ) ; }","synchronized TYPE_1 METHOD_1 ( long VAR_1 ) { METHOD_2 ( ) ; return METHOD_3 ( mContext , VAR_1 ) ; }",Change parameter type
float METHOD_1 ( int index ) { throw new TYPE_1 ( ) ; },abstract float METHOD_1 ( int index ) ;,Abstract an existing method using the abstract keyword
public static TYPE_1 METHOD_1 ( java.lang.String key ) { synchronized ( VAR_1 ) { return VAR_1 . get ( key ) ; } },public static synchronized TYPE_1 METHOD_1 ( java.lang.String key ) { return VAR_1 . get ( key ) ; },Move synchronized keyword from method signature to code block or vice versa
"native void METHOD_1 ( int VAR_1 , int id , int VAR_2 , int VAR_3 , int VAR_4 , int VAR_5 , TYPE_1 b ) ;","native void METHOD_1 ( long VAR_1 , long id , int VAR_2 , int VAR_3 , int VAR_4 , int VAR_5 , TYPE_1 b ) ;",Change parameter type
public static long METHOD_1 ( long arg ) { if ( VAR_1 ) { throw new TYPE_1 ( ) ; } return INT_1 - ( INT_2 - arg ) ; },public static long METHOD_1 ( long arg ) { return INT_1 - ( INT_2 - arg ) ; },Remove statement
public static native byte [ ] METHOD_1 ( int VAR_1 ) ;,public static native byte [ ] METHOD_1 ( long VAR_1 ) ;,Change parameter type
